municipio;nombre;provincia;superficie;latitud;longitud;altitud;rango tamaño población;poblacion;poblacion hombres;poblacion mujeres;densidad poblacional;indice gini;P80P20;Renta media hogar;renta media unidad consumo;renta media persona;salarios;pensiones;otros ingresos;otras prestaciones;desempleo;edad media;votos totales;votos blancos;participacion;pct_psoe;pct_pp;pct_vox;pct_cs;pct_up_sumar;pct_erc;pct_jxcat;pct_cup;pct_pnv;pct_ehbildu;pct_bng;pct_cc;pct_prc;pct_naplus;pct_teruel;pct_otros;calidad_datos;imputado_grupo_a;imputado_grupo_b;imputado
2001;Abengibre;Albacete;30.769225;39.2100078;-1.54384487;634.0;501-1000;790;379;411;25.675004814063403;28.0;2.3;27079.0;16401.0;11132.0;55.5;28.100000000000005;11.4;3.5;1.6000000000000003;;504;1;74.67248908296943;0.35119;0.375;0.180556;0.025794;0.06746;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;False;False;False
2002;Alatoz;Albacete;63.8536;39.09494843;-1.36097604;858.0;501-1000;519;291;228;8.127967726173623;30.0;2.2;21527.0;13744.0;9596.0;47.29999999999999;33.4;10.2;6.400000000000001;2.7000000000000006;;335;2;79.62529274004683;0.423881;0.310448;0.2;0.035821;0.026866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002985;2;False;False;False
2003;Albacete;Albacete;1126.9896;38.99588053;-1.85574745;681.0;100001-500000;173329;84687;88642;153.79822493481748;29.57258064516129;2.5725806451612905;32676.6935483871;18812.048387096773;12478.951612903224;63.45161290322581;19.5;10.51290322580645;4.41774193548387;2.139516129032258;41.75;94608;913;71.8158514411756;0.28617;0.281033;0.216451;0.092075;0.108014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016257;4;False;False;False
2004;Albatana;Albacete;30.5282;38.5708754;-1.52275248;582.0;501-1000;692;356;336;22.667566381247504;29.600000000000005;2.4;19915.0;12701.0;8943.0;44.1;35.0;14.199999999999998;4.2;2.5;;452;3;76.88442211055276;0.440265;0.263274;0.20354;0.050885;0.037611;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004425;2;False;False;False
2005;Alborea;Albacete;71.8676;39.27835442;-1.39670449;706.0;501-1000;658;337;321;9.155725250321424;29.7;2.3;21183.0;13432.0;9591.0;45.6;29.0;15.800000000000002;6.099999999999999;3.6;;411;8;76.89530685920577;0.313869;0.345499;0.22871;0.055961;0.055961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;False;False;False
2006;Alcadozo;Albacete;99.587;38.6489758;-1.9802275;925.0;501-1000;654;363;291;6.567122214746904;27.2;2.2;21449.0;13467.0;9297.0;45.4;32.2;12.699999999999998;6.0;3.7000000000000006;;423;1;74.17102966841188;0.423168;0.378251;0.115839;0.047281;0.035461;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;False;False;False
2007;Alcalá del Júcar;Albacete;146.824446;39.1932018;-1.42932697;547.0;1001-2000;1170;618;552;7.968700253090007;29.399999999999995;2.3;20032.0;13443.0;9712.0;47.1;29.7;14.0;5.7;3.5;;741;5;74.4346116027532;0.57085;0.215924;0.070175;0.024291;0.106613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012146;3;False;False;False
2008;Alcaraz;Albacete;370.3396;38.66425104;-2.49034957;953.0;1001-2000;1351;703;648;3.648003076095562;29.7;2.4;23124.0;14181.0;9717.0;53.79999999999999;26.0;11.6;5.3;3.4;;714;8;66.81776971894833;0.382353;0.239496;0.2493;0.043417;0.077031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008403;3;False;False;False
2009;Almansa;Albacete;532.4079;38.86968811;-1.09414681;687.0;20001-50000;24419;12167;12252;45.865209738623335;27.877272727272725;2.286363636363636;27285.227272727272;16168.863636363636;10737.40909090909;61.39090909090908;21.27272727272728;10.877272727272729;3.772727272727273;2.7181818181818183;;13529;134;71.18235444985895;0.383177;0.264543;0.157957;0.073694;0.108212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012418;4;False;False;False
2010;Alpera;Albacete;178.3779;38.95969094;-1.23080245;852.0;2001-5000;2265;1174;1091;12.697761325814463;26.56;2.12;21714.2;12967.8;8788.4;52.24;26.28;12.8;4.7;3.98;;1337;12;77.01793721973094;0.409125;0.292446;0.173523;0.053852;0.061331;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009723;4;False;False;False
2011;Ayna;Albacete;146.5896;38.55217746;-2.07053831;696.0;501-1000;616;327;289;4.202208069330976;30.399999999999995;2.5;21646.0;15987.0;11858.0;45.6;37.4;9.7;4.8;2.5;;426;1;77.15827338129496;0.392019;0.41784;0.129108;0.030516;0.030516;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;False;False;False
2012;Balazote;Albacete;65.153733;38.88396156;-2.15096732;771.0;2001-5000;2334;1189;1145;35.82296658274362;26.45;2.275;28146.25;16972.0;11269.5;60.325;14.6;18.25;4.025;2.825;;1411;9;79.67302452316076;0.447201;0.268604;0.159461;0.055989;0.063785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004961;4;False;False;False
2014;Ballestero, El;Albacete;138.693693;38.84252196;-2.45508633;1027.0;101-500;405;207;198;2.920103944452615;25.8;2.1;23843.0;15961.0;11256.0;51.5;26.399999999999995;15.9;4.9;1.3;;249;3;71.75141242937853;0.441767;0.293173;0.100402;0.016064;0.148594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;False;False;False
2013;Balsa de Ves;Albacete;75.89229999999999;39.26461253;-1.19650012;751.0;101-500;158;91;67;2.08189763651912;30.7;3.1;22693.0;16390.0;12219.0;37.4;37.5;16.8;6.0;2.3;;88;0;72.0;0.238636;0.295455;0.306818;0.045455;0.113636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;False;False;False
2015;Barrax;Albacete;189.7703;39.0456106;-2.20045637;733.0;1001-2000;1833;939;894;9.659045698931816;27.2;2.1;23738.0;13798.0;9220.0;59.4;16.5;14.199999999999998;5.7;4.2;;1140;8;81.21508379888269;0.357895;0.290351;0.224561;0.064912;0.059649;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002632;3;False;False;False
2016;Bienservida;Albacete;91.4382;38.51602097;-2.61184243;898.0;501-1000;603;326;277;6.594618004291424;29.0;2.1;19539.0;13178.0;9533.0;49.1;29.899999999999995;10.699999999999998;6.0;4.3;;348;4;66.85606060606061;0.33046;0.29023;0.278736;0.051724;0.04023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008621;2;False;False;False
2017;Bogarra;Albacete;166.01461899999998;38.58025427;-2.21253636;844.0;501-1000;842;443;399;5.071842498400699;28.2;2.2;17660.0;12220.0;9172.0;34.5;46.79999999999999;8.7;7.2;2.7999999999999994;;492;1;65.52631578947368;0.485772;0.272358;0.172764;0.028455;0.038618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002033;2;False;False;False
2018;Bonete;Albacete;125.5348;38.86950589;-1.34830324;886.0;1001-2000;1049;540;509;8.356248625879038;29.399999999999995;2.5;24197.0;14331.0;9849.0;56.4;25.7;10.5;4.4;3.0;;603;3;77.43979721166033;0.356551;0.38806;0.157546;0.054726;0.038143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004975;3;False;False;False
2019;Bonillo, El;Albacete;502.86730000000006;38.95012362;-2.54023691;1062.0;2001-5000;2779;1415;1364;5.526308829386997;23.96;2.1;23423.2;14066.6;9667.2;55.2;23.42;12.919999999999998;5.04;3.5;;1757;9;76.78571428571429;0.435401;0.226522;0.195219;0.056915;0.079112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00683;4;False;False;False
