id_municipio;nombre_municipio;poblacion_total;total_hombres;total_mujeres
02001;Abengibre;760;369;391
02002;Alatoz;491;268;223
02003;Albacete;173206;84585;88621
02004;Albatana;655;332;323
02005;Alborea;666;350;316
02006;Alcadozo;648;355;293
02007;Alcalá del Júcar;1129;604;525
02008;Alcaraz;1304;678;626
02009;Almansa;24282;12044;12238
02010;Alpera;2268;1186;1082
02011;Ayna;601;334;267
02012;Balazote;2408;1236;1172
02014;Ballestero, El;414;217;197
02013;Balsa de Ves;134;78;56
02015;Barrax;1849;955;894
02016;Bienservida;567;309;258
02017;Bogarra;740;391;349
02018;Bonete;980;518;462
02019;Bonillo, El;2651;1349;1302
02020;Carcelén;481;249;232
02021;Casas de Juan Núñez;1349;729;620
02022;Casas de Lázaro;324;186;138
02023;Casas de Ves;556;295;261
02024;Casas-Ibáñez;4581;2314;2267
02025;Caudete;10146;5188;4958
02026;Cenizate;1143;577;566
02029;Chinchilla de Monte-Aragón;4565;2363;2202
02027;Corral-Rubio;302;159;143
02028;Cotillas;131;74;57
02030;Elche de la Sierra;3576;1751;1825
02031;Férez;617;309;308
02032;Fuensanta;289;157;132
02033;Fuente-Álamo;2431;1278;1153
02034;Fuentealbilla;1827;951;876
02035;Gineta, La;2611;1356;1255
02036;Golosalvo;92;50;42
02037;Hellín;30516;15344;15172
02038;Herrera, La;307;161;146
02039;Higueruela;1147;600;547
02040;Hoya-Gonzalo;614;323;291
02041;Jorquera;346;188;158
02042;Letur;929;466;463
02043;Lezuza;1291;674;617
02044;Liétor;1080;562;518
02045;Madrigueras;4675;2386;2289
02046;Mahora;1491;771;720
02047;Masegoso;139;79;60
02048;Minaya;1435;724;711
02049;Molinicos;824;425;399
02050;Montalvos;89;52;37
02051;Montealegre del Castillo;2040;1065;975
02052;Motilleja;661;362;299
02053;Munera;3409;1764;1645
02054;Navas de Jorquera;520;273;247
02055;Nerpio;1174;659;515
02056;Ontur;1913;959;954
02057;Ossa de Montiel;2209;1135;1074
02058;Paterna del Madera;351;193;158
02060;Peñas de San Pedro;1447;853;594
02059;Peñascosa;329;191;138
02061;Pétrola;669;351;318
02062;Povedilla;393;213;180
02901;Pozo Cañada;2703;1374;1329
02063;Pozohondo;1551;813;738
02064;Pozo-Lorente;392;200;192
02065;Pozuelo;470;255;215
02066;Recueja, La;221;122;99
02067;Riópar;1326;673;653
02068;Robledo;394;215;179
02069;Roda, La;15542;7821;7721
02070;Salobre;435;232;203
02071;San Pedro;1191;612;579
02072;Socovos;1705;883;822
02073;Tarazona de la Mancha;6138;3168;2970
02074;Tobarra;7824;4053;3771
02075;Valdeganga;1950;998;952
02076;Vianos;322;166;156
02077;Villa de Ves;61;34;27
02078;Villalgordo del Júcar;1086;570;516
02079;Villamalea;3929;2011;1918
02080;Villapalacios;553;291;262
02081;Villarrobledo;25189;12450;12739
02082;Villatoya;114;67;47
02083;Villavaliente;209;127;82
02084;Villaverde de Guadalimar;311;171;140
02085;Viveros;308;161;147
02086;Yeste;2478;1292;1186
03002;Agost;5067;2566;2501
03003;Agres;619;338;281
03004;Aigües;1146;566;580
03014;Alacant/Alicante;349282;168377;180905
03005;Albatera;13092;6682;6410
03006;Alcalalí;1397;701;696
03009;Alcoi/Alcoy;59493;29124;30369
03008;Alcoleja;188;100;88
03007;Alcosser;259;130;129
03010;Alfafara;419;196;223
03011;Alfàs del Pi, l';20518;10102;10416
03012;Algorfa;3635;1834;1801
03013;Algueña;1395;714;681
03015;Almoradí;21874;10985;10889
03016;Almudaina;110;54;56
03017;Alqueria d'Asnar, l';511;258;253
03018;Altea;23820;11638;12182
03019;Aspe;21473;10789;10684
03001;Atzúbia, l';608;313;295
03020;Balones;119;59;60
03021;Banyeres de Mariola;7255;3677;3578
03022;Benasau;173;84;89
03023;Beneixama;1697;846;851
03024;Benejúzar;5625;2813;2812
03025;Benferri;2023;1046;977
03026;Beniarbeig;2353;1191;1162
03027;Beniardà;252;124;128
03028;Beniarrés;1089;556;533
03030;Benidoleig;1218;605;613
03031;Benidorm;72342;35817;36525
03032;Benifallim;111;60;51
03033;Benifato;140;78;62
03029;Benigembla;537;263;274
03034;Benijófar;3473;1686;1787
03035;Benilloba;737;388;349
03036;Benillup;105;55;50
03037;Benimantell;534;270;264
03038;Benimarfull;422;219;203
03039;Benimassot;105;56;49
03040;Benimeli;455;213;242
03041;Benissa;12279;6060;6219
03043;Biar;3607;1762;1845
03044;Bigastro;7361;3694;3667
03045;Bolulla;440;221;219
03046;Busot;3534;1763;1771
03049;Callosa de Segura;19484;9932;9552
03048;Callosa d'en Sarrià;7708;3973;3735
03047;Calp;25854;12795;13059
03051;Camp de Mirra, el/Campo de Mirra;442;230;212
03050;Campello, el;29993;14551;15442
03052;Cañada;1210;596;614
03053;Castalla;11365;5767;5598
03054;Castell de Castells;445;235;210
03075;Castell de Guadalest, el;274;135;139
03055;Catral;9275;4670;4605
03056;Cocentaina;11309;5695;5614
03057;Confrides;297;161;136
03058;Cox;7513;3790;3723
