id_municipio;nombre_municipio;edad_media_ambos;edad_media_hombres;edad_media_mujeres
01059;Vitoria-Gasteiz;45.1;43.62;46.5
02003;Albacete;42.92;41.36;44.41
03009;Alcoi/Alcoy;45.09;43.54;46.58
03014;Alacant/Alicante;43.72;42.13;45.21
03031;Benidorm;45.62;44.72;46.5
03065;Elx/Elche;42.78;41.71;43.84
03066;Elda;44.98;43.41;46.46
03099;Orihuela;45.34;44.65;46.01
03122;Sant Vicent del Raspeig/San Vicente del Raspeig;41.7;40.71;42.66
03133;Torrevieja;45.1;44.15;46.0
04013;Almería;41.99;40.47;43.44
04079;Roquetas de Mar;38.21;37.6;38.86
04902;Ejido, El;37.53;36.95;38.18
05019;Ávila;44.78;42.98;46.41
06015;Badajoz;42.95;41.38;44.43
06083;Mérida;42.54;41.27;43.74
07011;Calvià;42.5;42.02;42.98
07026;Eivissa;41.06;40.34;41.8
07040;Palma;42.36;41.07;43.59
08015;Badalona;43.27;41.81;44.7
08019;Barcelona;44.56;42.62;46.32
08056;Castelldefels;42.18;41.02;43.28
08073;Cornellà de Llobregat;43.95;42.35;45.47
08096;Granollers;43.28;41.75;44.78
08101;Hospitalet de Llobregat, L';43.24;41.56;44.82
08113;Manresa;43.37;41.79;44.89
08121;Mataró;42.83;41.41;44.24
08124;Mollet del Vallès;43.25;42.03;44.43
08169;Prat de Llobregat, El;43.78;42.4;45.1
08184;Rubí;41.85;40.79;42.89
08187;Sabadell;43.0;41.47;44.44
08200;Sant Boi de Llobregat;43.7;42.22;45.09
08205;Sant Cugat del Vallès;40.15;38.92;41.32
08245;Santa Coloma de Gramenet;43.22;41.72;44.68
08266;Cerdanyola del Vallès;44.43;43.14;45.64
08279;Terrassa;42.16;40.82;43.46
08301;Viladecans;42.64;41.5;43.75
08307;Vilanova i la Geltrú;44.52;43.21;45.74
09059;Burgos;46.1;44.27;47.77
10037;Cáceres;44.09;42.37;45.67
11004;Algeciras;41.56;40.4;42.68
11012;Cádiz;47.79;45.72;49.64
11015;Chiclana de la Frontera;41.27;40.78;41.75
11020;Jerez de la Frontera;42.85;41.52;44.13
11022;Línea de la Concepción, La;42.16;41.04;43.25
11027;Puerto de Santa María, El;42.55;41.52;43.52
11031;San Fernando;43.59;42.29;44.82
11032;Sanlúcar de Barrameda;42.11;41.11;43.1
12040;Castelló de la Plana/Castellón de la Plana;43.73;42.25;45.12
12135;Vila-real;42.41;41.09;43.7
13034;Ciudad Real;43.65;41.74;45.37
13071;Puertollano;45.68;44.19;47.07
14021;Córdoba;44.15;42.46;45.7
15030;Coruña, A;47.39;45.3;49.19
15036;Ferrol;49.86;47.35;52.1
15078;Santiago de Compostela;46.3;44.39;47.95
16078;Cuenca;44.37;42.65;45.91
17079;Girona;41.22;39.71;42.61
18087;Granada;45.2;43.02;47.08
18140;Motril;41.83;40.68;42.94
19130;Guadalajara;42.7;41.18;44.1
20045;Irun;45.77;44.19;47.3
20069;Donostia/San Sebastián;47.06;45.07;48.85
21041;Huelva;43.71;41.98;45.31
22125;Huesca;44.17;42.35;45.85
23050;Jaén;43.82;42.03;45.48
23055;Linares;44.76;43.17;46.28
24089;León;48.87;46.41;50.9
24115;Ponferrada;48.21;46.55;49.69
25120;Lleida;42.94;41.37;44.51
26089;Logroño;45.16;43.44;46.7
27028;Lugo;46.46;44.52;48.13
28005;Alcalá de Henares;43.65;42.36;44.86
28006;Alcobendas;41.86;40.53;43.07
28007;Alcorcón;45.11;43.6;46.5
28013;Aranjuez;42.19;40.99;43.33
28014;Arganda del Rey;40.13;39.1;41.16
28022;Boadilla del Monte;38.5;37.71;39.25
28045;Colmenar Viejo;40.53;39.68;41.35
28047;Collado Villalba;42.03;40.83;43.16
28049;Coslada;45.32;44.18;46.41
28058;Fuenlabrada;42.46;41.42;43.45
28065;Getafe;43.08;41.8;44.3
28074;Leganés;44.87;43.44;46.2
28079;Madrid;44.34;42.38;46.07
28080;Majadahonda;42.05;40.47;43.47
28092;Móstoles;44.33;42.97;45.6
28106;Parla;39.03;38.16;39.88
28113;Pinto;40.21;39.34;41.06
28115;Pozuelo de Alarcón;42.41;41.16;43.55
28123;Rivas-Vaciamadrid;38.11;37.5;38.71
28127;Rozas de Madrid, Las;40.7;39.6;41.73
28134;San Sebastián de los Reyes;41.13;40.08;42.11
28148;Torrejón de Ardoz;41.33;40.28;42.34
28161;Valdemoro;38.96;38.12;39.77
29025;Benalmádena;42.42;41.91;42.91
29051;Estepona;42.12;41.53;42.69
29054;Fuengirola;46.12;45.3;46.88
29067;Málaga;43.1;41.48;44.59
29069;Marbella;42.1;41.2;42.92
29070;Mijas;40.87;40.49;41.25
29082;Rincón de la Victoria;41.07;40.14;41.96
29094;Vélez-Málaga;42.51;41.68;43.33
29901;Torremolinos;43.54;42.65;44.46
30016;Cartagena;42.19;40.92;43.45
30024;Lorca;40.32;39.25;41.45
30027;Molina de Segura;39.97;39.22;40.72
30030;Murcia;41.55;40.2;42.85
