cod_provincia;nombre_provincia;edad_media_ambos;edad_media_hombres;edad_media_mujeres
00;Total Nacional;44.18;42.87;45.44
01;Araba/Álava;45.24;43.96;46.49
02;Albacete;44.34;43.16;45.53
03;Alicante/Alacant;44.3;43.23;45.34
04;Almería;40.91;39.96;41.91
05;Ávila;48.34;47.29;49.4
06;Badajoz;44.52;43.38;45.64
07;Balears, Illes;42.22;41.29;43.13
08;Barcelona;43.43;41.95;44.84
09;Burgos;47.24;46.03;48.44
10;Cáceres;47.15;45.9;48.38
11;Cádiz;43.01;41.91;44.08
12;Castellón/Castelló;44.01;42.9;45.1
13;Ciudad Real;44.75;43.38;46.1
14;Córdoba;44.37;42.96;45.73
15;Coruña, A;47.84;46.19;49.36
16;Cuenca;46.32;45.26;47.39
17;Girona;42.77;41.73;43.8
18;Granada;43.39;42.19;44.55
19;Guadalajara;42.29;41.57;43.02
20;Gipuzkoa;45.77;44.29;47.18
21;Huelva;42.77;41.63;43.89
22;Huesca;45.73;44.61;46.88
23;Jaén;44.52;43.17;45.83
24;León;49.82;48.22;51.32
25;Lleida;43.76;42.63;44.94
26;Rioja, La;45.07;43.9;46.2
27;Lugo;50.48;49.04;51.83
28;Madrid;43.09;41.57;44.49
29;Málaga;43.03;42.02;44.0
30;Murcia;41.34;40.27;42.42
31;Navarra;43.85;42.69;44.98
32;Ourense;51.23;49.53;52.8
33;Asturias;49.3;47.54;50.91
34;Palencia;48.82;47.46;50.15
35;Palmas, Las;43.37;42.63;44.11
36;Pontevedra;46.76;45.13;48.28
37;Salamanca;48.83;47.36;50.21
38;Santa Cruz de Tenerife;44.2;43.22;45.15
39;Cantabria;46.57;45.09;47.96
40;Segovia;46.41;45.32;47.5
41;Sevilla;42.45;41.14;43.7
42;Soria;47.63;46.63;48.65
43;Tarragona;43.43;42.36;44.49
44;Teruel;46.56;45.67;47.46
45;Toledo;42.77;41.83;43.73
46;Valencia/València;43.92;42.57;45.22
47;Valladolid;46.87;45.51;48.15
48;Bizkaia;46.68;44.98;48.28
49;Zamora;51.65;50.22;53.05
50;Zaragoza;45.03;43.56;46.44
51;Ceuta;38.55;37.96;39.14
52;Melilla;36.84;36.29;37.4
