id_municipio;nombre_municipio;total_paro;p_h_u25;p_h_25_44;p_h_o45;p_m_u25;p_m_25_44;p_m_o45;p_agr;p_ind;p_con;p_ser;p_sin_empleo;total_contratos;c_h_indef;c_h_temp;c_h_conv;c_m_indef;c_m_temp;c_m_conv;c_agr;c_ind;c_con;c_ser
15001;ABEGONDO;224;8;31;60;2;50;73;6;32;16;157;13;135;4;71;3;3;52;2;2;2;11;120
15002;AMES;1818;36;288;395;55;535;509;24;108;118;1399;169;562;16;274;21;22;223;6;4;22;18;518
15003;ARANGA;49;0;5;23;1;10;10;6;2;2;36;3;18;0;6;2;1;8;1;6;3;0;9
15004;ARES;375;9;50;102;7;95;112;10;33;48;257;27;41;0;10;3;2;22;4;0;1;1;39
15005;ARTEIXO;2016;44;348;460;50;485;629;24;275;205;1368;144;1197;30;543;27;27;530;40;5;267;54;871
15006;ARZUA;248;6;32;63;5;62;80;15;30;24;164;15;293;1;202;1;2;85;2;3;6;2;282
15007;BAÑA, A;192;0;24;76;3;48;41;14;22;31;116;9;13;1;6;0;1;5;0;0;2;1;10
15008;BERGONDO;341;8;46;105;6;63;113;6;25;26;260;24;356;15;237;25;9;64;6;17;56;48;235
15009;BETANZOS;768;19;108;190;21;199;231;20;65;65;553;65;333;12;141;3;3;165;9;3;17;14;299
15010;BOIMORTO;77;2;8;26;1;17;23;6;8;10;52;1;41;0;16;0;0;24;1;2;0;0;39
15011;BOIRO;1001;39;157;201;37;288;279;30;207;83;616;65;352;9;127;25;6;169;16;20;73;31;228
15012;BOQUEIXON;160;4;21;39;1;53;42;6;11;10;127;6;59;0;26;1;2;30;0;3;22;3;31
15013;BRION;371;9;42;109;10;102;99;5;38;30;267;31;48;5;20;0;2;20;1;7;7;0;34
15014;CABANA DE BERGANTIÑOS;248;10;23;60;4;57;94;5;61;32;135;15;22;0;6;1;1;13;1;1;1;2;18
15015;CABANAS;183;3;28;63;3;35;51;3;21;18;124;17;135;1;68;2;2;60;2;0;19;35;81
15016;CAMARIÑAS;346;13;36;66;10;88;133;25;34;37;227;23;52;6;19;0;7;19;1;19;3;3;27
15017;CAMBRE;1416;44;197;349;34;304;488;19;158;100;1038;101;533;14;220;10;10;270;9;14;46;48;425
15018;CAPELA, A;42;1;6;19;0;7;9;1;8;6;25;2;37;0;16;0;0;20;1;1;3;0;33
15019;CARBALLO;2274;60;305;504;70;544;791;49;505;344;1220;156;443;29;171;22;17;191;13;3;33;72;335
15020;CARNOTA;200;5;24;55;1;30;85;14;32;27;120;7;147;3;59;2;1;82;0;128;2;0;17
15021;CARRAL;287;6;43;71;9;81;77;9;51;24;183;20;85;4;57;5;0;17;2;9;37;3;36
15022;CEDEIRA;330;4;49;76;3;96;102;24;31;22;229;24;69;10;29;0;1;29;0;22;5;3;39
15023;CEE;513;11;62;123;9;148;160;15;60;42;364;32;141;4;69;8;8;41;11;8;30;4;99
15024;CERCEDA;213;11;34;43;7;52;66;5;32;34;133;9;233;9;91;13;3;115;2;5;178;2;48
15025;CERDIDO;49;2;7;21;0;11;8;13;4;5;24;3;16;0;5;1;0;10;0;1;9;0;6
15026;CESURAS;99;1;14;40;5;15;24;7;8;14;66;4;9;0;1;1;2;5;0;2;1;1;5
15027;COIROS;80;2;9;22;3;23;21;3;10;3;59;5;23;1;10;2;3;7;0;2;3;1;17
15028;CORCUBION;99;1;15;28;2;24;29;1;10;9;74;5;24;0;14;0;0;10;0;2;0;0;22
