cod_ine;superficie_km2;latitud;longitud;altitud;provincia_enc;poblacion_2015;log_poblacion_2015;ratio_sexo_2015;densidad_2015;log_densidad_2015;poblacion_2016;log_poblacion_2016;ratio_sexo_2016;densidad_2016;log_densidad_2016;poblacion_2019;log_poblacion_2019;ratio_sexo_2019;densidad_2019;log_densidad_2019;poblacion_2023;log_poblacion_2023;ratio_sexo_2023;densidad_2023;log_densidad_2023;mediana_renta_uc_2015;mediana_renta_uc_2016;mediana_renta_uc_2017;mediana_renta_uc_2018;mediana_renta_uc_2019;mediana_renta_uc_2020;mediana_renta_uc_2021;mediana_renta_uc_2022;mediana_renta_uc_2023;renta_bruta_persona_2015;renta_bruta_persona_2016;renta_bruta_persona_2017;renta_bruta_persona_2018;renta_bruta_persona_2019;renta_bruta_persona_2020;renta_bruta_persona_2021;renta_bruta_persona_2022;renta_bruta_persona_2023;renta_neta_hogar_2015;renta_neta_hogar_2016;renta_neta_hogar_2017;renta_neta_hogar_2018;renta_neta_hogar_2019;renta_neta_hogar_2020;renta_neta_hogar_2021;renta_neta_hogar_2022;renta_neta_hogar_2023;renta_neta_persona_2015;renta_neta_persona_2016;renta_neta_persona_2017;renta_neta_persona_2018;renta_neta_persona_2019;renta_neta_persona_2020;renta_neta_persona_2021;renta_neta_persona_2022;renta_neta_persona_2023;desempleo_2015;desempleo_2016;desempleo_2017;desempleo_2018;desempleo_2019;desempleo_2020;desempleo_2021;desempleo_2022;desempleo_2023;otras_prestaciones_2015;otras_prestaciones_2016;otras_prestaciones_2017;otras_prestaciones_2018;otras_prestaciones_2019;otras_prestaciones_2020;otras_prestaciones_2021;otras_prestaciones_2022;otras_prestaciones_2023;otros_ingresos_2015;otros_ingresos_2016;otros_ingresos_2017;otros_ingresos_2018;otros_ingresos_2019;otros_ingresos_2020;otros_ingresos_2021;otros_ingresos_2022;otros_ingresos_2023;pensiones_2015;pensiones_2016;pensiones_2017;pensiones_2018;pensiones_2019;pensiones_2020;pensiones_2021;pensiones_2022;pensiones_2023;salarios_2015;salarios_2016;salarios_2017;salarios_2018;salarios_2019;salarios_2020;salarios_2021;salarios_2022;salarios_2023;gini_2015;gini_2016;gini_2017;gini_2018;gini_2019;gini_2020;gini_2021;gini_2022;gini_2023;p80p20_2015;p80p20_2016;p80p20_2017;p80p20_2018;p80p20_2019;p80p20_2020;p80p20_2021;p80p20_2022;p80p20_2023;participacion_2015;votos_blancos_2015;participacion_2016;votos_blancos_2016;participacion_2019;votos_blancos_2019;participacion_2023;votos_blancos_2023;pct_psoe_2015;pct_pp_2015;pct_vox_2015;pct_cs_2015;pct_up_sumar_2015;pct_erc_2015;pct_jxcat_2015;pct_cup_2015;pct_pnv_2015;pct_ehbildu_2015;pct_bng_2015;pct_cc_2015;pct_prc_2015;pct_naplus_2015;pct_teruel_2015;pct_otros_2015;pct_psoe_2016;pct_pp_2016;pct_vox_2016;pct_cs_2016;pct_up_sumar_2016;pct_erc_2016;pct_jxcat_2016;pct_cup_2016;pct_pnv_2016;pct_ehbildu_2016;pct_bng_2016;pct_cc_2016;pct_prc_2016;pct_naplus_2016;pct_teruel_2016;pct_otros_2016;pct_psoe_2019;pct_pp_2019;pct_vox_2019;pct_cs_2019;pct_up_sumar_2019;pct_erc_2019;pct_jxcat_2019;pct_cup_2019;pct_pnv_2019;pct_ehbildu_2019;pct_bng_2019;pct_cc_2019;pct_prc_2019;pct_naplus_2019;pct_teruel_2019;pct_otros_2019;pct_psoe_2023;pct_pp_2023;pct_vox_2023;pct_cs_2023;pct_up_sumar_2023;pct_erc_2023;pct_jxcat_2023;pct_cup_2023;pct_pnv_2023;pct_ehbildu_2023;pct_bng_2023;pct_cc_2023;pct_prc_2023;pct_naplus_2023;pct_teruel_2023;pct_otros_2023;pct_izquierda_2015;pct_derecha_2015;pct_nacionalistas_2015;indice_ideologico_2015;pct_izquierda_2016;pct_derecha_2016;pct_nacionalistas_2016;indice_ideologico_2016;pct_izquierda_2019;pct_derecha_2019;pct_nacionalistas_2019;indice_ideologico_2019;pct_izquierda_2023;pct_derecha_2023;pct_nacionalistas_2023;indice_ideologico_2023
02001;30.769225;39.2100078;-1.54384487;634.0;2;782.0;6.663132695990803;0.9722921914357683;25.415004765313395;3.273932211018057;761;6.635946555686647;0.9242424242424242;24.732504637344622;3.24775496463209;790;6.673297967767654;0.9199029126213593;25.675004814063403;3.283726977658781;760;6.634633357861686;0.9413265306122449;24.70000463125087;3.246491172105472;12250.0;12950.0;12950.0;15050.0;15750.0;15050.0;16450.0;17150.0;18200.0;10538.0;11010.0;11096.0;12424.0;12710.0;13391.0;14017.0;15122.0;16478.0;22345.0;23206.0;23007.0;26622.0;27079.0;28234.0;29768.0;32657.0;34249.0;9290.0;9690.0;9704.0;10854.0;11132.0;11675.0;12188.0;13063.0;14105.0;2.0;1.6;1.9;1.6;1.6;3.0;1.8;1.4;1.2;3.6;3.5;3.8;3.7;3.5;4.6;4.4;4.1;4.1;13.3;14.0;8.9;12.6;11.4;10.0;10.3;10.6;10.4;30.2;29.1;29.7;27.0;28.1;28.1;28.0;27.3;28.3;50.9;51.8;55.6;55.1;55.5;54.3;55.6;56.6;56.1;32.3;31.3;30.1;29.6;28.0;30.0;28.8;30.3;28.7;2.5;2.5;2.6;2.5;2.3;2.6;2.5;2.6;2.6;78.93939393939394;4.0;80.33536585365853;1;74.67248908296943;1;80.70921985815603;3;0.353755;0.492095;0.0;0.0;0.071146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.083004;0.342912;0.521073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.136015;0.35119;0.375;0.180556;0.025794;0.06746;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.388889;0.422939;0.137993;0.0;0.046595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003584;0.424901;0.492095;0.0;0.06719400000000003;0.342912;0.521073;0.0;0.178161;0.41865;0.5813499999999999;0.0;0.1626999999999999;0.435484;0.560932;0.0;0.125448
02002;63.8536;39.09494843;-1.36097604;858.0;2;610.0;6.415096959171596;1.2546125461254614;9.553102722477668;2.356419913601369;582;6.368187186350492;1.2596899224806202;9.114599646691808;2.3139798896774026;519;6.253828811575473;1.2707423580786026;8.127967726173623;2.211343076858259;491;6.198478716492308;1.1964285714285714;7.689464650387762;2.1621113321308005;10150.0;10150.0;10150.0;11550.0;11550.0;11550.0;13650.0;15050.0;15750.0;8619.0;8781.0;9431.0;10265.0;10656.0;10982.0;11980.0;12607.0;13765.0;17940.0;18223.0;18889.0;20150.0;21527.0;21179.0;22988.0;24306.0;25953.0;7880.0;8008.0;8540.0;9255.0;9596.0;9866.0;10771.0;11346.0;12222.0;3.1;2.9;3.4;2.5;2.7;4.3;3.4;2.8;3.1;6.3;5.9;5.8;6.8;6.4;6.0;6.5;7.3;6.3;10.5;9.4;9.4;11.0;10.2;12.0;12.6;9.4;10.1;39.6;38.3;35.3;32.5;33.4;33.3;31.0;31.5;29.3;40.6;43.5;46.1;47.1;47.3;44.4;46.6;49.1;51.3;29.2;30.2;29.7;29.3;30.0;29.2;29.1;27.7;28.1;2.0;2.4;2.2;2.2;2.2;2.2;2.3;2.1;2.3;82.18623481781377;0.0;83.82978723404256;3;79.62529274004683;2;84.9514563106796;1;0.375315;0.473552;0.0;0.0;0.062972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.088161;0.38601;0.466321;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.147668;0.423881;0.310448;0.2;0.035821;0.026866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002985;0.391304;0.402899;0.185507;0.0;0.011594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008696;0.438287;0.473552;0.0;0.03526499999999999;0.38601;0.466321;0.0;0.08031099999999997;0.450747;0.546269;0.0;0.095522;0.402898;0.588406;0.0;0.185508
02003;1126.9896;38.99588053;-1.85574745;681.0;2;172121.0;12.055958806685165;0.9584020753450375;152.72634281629573;5.035174026986263;172426;12.05772923747827;0.9580404492340536;152.99697530482976;5.036932961343016;173329;12.062952570935357;0.955371546540618;153.79822493481748;5.042122494260537;173206;12.062242689998167;0.9544469770485884;153.68908461976932;5.04141719671713;13650.0;14350.0;15050.0;15750.0;16450.0;16450.0;17150.0;18550.0;19250.0;12501.0;12910.0;13421.0;14041.0;14786.0;15098.0;15979.0;16865.0;17923.0;28507.0;29160.0;30173.0;31209.0;32522.0;32861.0;34160.0;35722.0;37457.0;10515.0;10795.0;11223.0;11713.0;12282.0;12529.0;13146.0;13836.0;14611.0;2.7;2.3;2.0;2.0;1.9;4.0;2.6;1.8;1.8;3.3;3.3;3.4;3.8;3.9;4.0;4.1;4.2;4.2;10.7;10.9;11.2;11.3;11.1;10.2;11.1;11.1;11.0;18.9;18.8;18.7;18.6;18.4;19.1;18.4;18.8;19.1;64.4;64.7;64.6;64.4;64.7;62.8;63.8;64.1;63.8;34.3;33.8;33.1;32.5;31.8;31.9;31.3;31.1;30.7;3.2;2.9;2.8;2.8;2.8;2.8;2.7;2.7;2.6;76.60788578270524;730.0;72.44495489096762;630;71.8158514411756;913;73.17474689274837;872;0.223353;0.361964;0.003244;0.0;0.165166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.246273;0.22039;0.406716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.372895;0.28617;0.281033;0.216451;0.092075;0.108014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016257;0.310843;0.418175;0.178921;0.0;0.080366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011695;0.388519;0.36520800000000003;0.0;-0.02331099999999997;0.22039;0.406716;0.0;0.18632600000000002;0.394184;0.5895589999999999;0.0;0.19537499999999997;0.391209;0.5970960000000001;0.0;0.2058870000000001
02004;30.5282;38.5708754;-1.52275248;582.0;2;744.0;6.61338421837956;1.0410958904109588;24.37090951972275;3.2336032231744505;714;6.5722825426940075;1.0545977011494252;23.3882115552178;3.1940998825699354;692;6.541029999189903;1.056379821958457;22.667566381247504;3.164105603759661;655;6.486160788944089;1.0246913580246915;21.45557222502473;3.1115387894047113;9450.0;10150.0;10150.0;11550.0;11550.0;12250.0;12950.0;13650.0;14350.0;8322.0;8890.0;8786.0;9700.0;9931.0;10729.0;11203.0;12118.0;12452.0;17361.0;18217.0;18148.0;19665.0;19915.0;20944.0;22482.0;23630.0;24650.0;7587.0;8082.0;7940.0;8721.0;8943.0;9582.0;10026.0;10767.0;11108.0;3.3;2.9;2.0;1.9;2.5;3.5;3.4;3.0;3.1;4.7;4.7;5.0;4.2;4.2;4.2;5.1;4.7;5.6;17.6;16.1;15.9;19.5;14.2;14.2;15.5;15.4;14.8;39.2;38.7;35.5;33.4;35.0;32.6;29.6;30.2;30.6;35.1;37.5;41.7;41.1;44.1;45.5;46.4;46.8;46.0;31.1;29.3;30.2;27.9;29.6;30.4;30.0;29.1;27.2;2.5;2.5;2.5;2.3;2.4;2.3;2.4;2.4;2.3;81.15942028985508;5.0;78.26797385620915;5;76.88442211055276;3;83.03571428571429;4;0.385859;0.434343;0.0;0.0;0.076768;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10303;0.391026;0.478632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.130342;0.440265;0.263274;0.20354;0.050885;0.037611;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004425;0.409978;0.416486;0.132321;0.0;0.032538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008677;0.462627;0.434343;0.0;-0.02828400000000003;0.391026;0.478632;0.0;0.08760600000000002;0.477876;0.517699;0.0;0.039823;0.442516;0.548807;0.0;0.10629100000000002
02005;71.8676;39.27835442;-1.39670449;706.0;2;754.0;6.626717749249025;1.0914127423822715;10.49151495249598;2.441608932820784;710;6.566672429803241;1.0549132947976878;9.879278005665975;2.3868598794525417;658;6.490723534502507;1.046583850931677;9.155725250321424;2.3180376105345317;666;6.502790045915623;1.1041009463722398;9.267041058835972;2.32893886741626;9450.0;9450.0;9450.0;11550.0;11550.0;10850.0;11550.0;12950.0;13650.0;7941.0;8316.0;9375.0;9879.0;10729.0;10809.0;10994.0;11852.0;12632.0;16136.0;17050.0;17721.0;19469.0;21183.0;20968.0;21034.0;22177.0;23178.0;7235.0;7573.0;8491.0;8945.0;9591.0;9614.0;9881.0;10489.0;11049.0;6.0;4.8;4.4;4.0;3.6;6.5;6.0;3.6;4.0;5.9;5.3;4.8;5.8;6.1;5.6;5.5;4.7;5.0;11.3;14.9;12.2;14.6;15.8;15.4;13.2;14.6;11.6;32.9;32.5;31.3;28.1;29.0;28.1;28.5;27.3;28.1;43.8;42.5;47.4;47.5;45.6;44.4;46.7;49.9;51.3;32.3;31.6;33.0;29.9;29.7;29.6;29.7;29.7;31.6;2.7;2.9;2.6;2.5;2.3;2.1;2.3;2.4;2.5;77.64084507042254;4.0;75.84973166368515;5;76.89530685920577;8;81.61350844277673;6;0.306265;0.466357;0.0;0.0;0.090487;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.136891;0.279805;0.50365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.216545;0.313869;0.345499;0.22871;0.055961;0.055961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.400955;0.429594;0.138425;0.0;0.026253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004773;0.396752;0.466357;0.0;0.06960500000000003;0.279805;0.50365;0.0;0.22384500000000002;0.36983;0.63017;0.0;0.26034;0.42720800000000003;0.5680189999999999;0.0;0.1408109999999999
02006;99.587;38.6489758;-1.9802275;925.0;2;699.0;6.551080335043404;1.1341463414634145;7.018988422183618;2.081812282025822;688;6.535241271013659;1.139751552795031;6.908532238143533;2.0679422068047693;654;6.484635235635252;1.2431506849315068;6.567122214746904;2.0238128385991256;648;6.47543271670409;1.2074829931972788;6.506873387088676;2.0158190524687045;10150.0;10150.0;10850.0;11550.0;12250.0;12250.0;13650.0;13650.0;14350.0;8144.0;8949.0;8911.0;9893.0;10321.0;10277.0;11251.0;12052.0;13695.0;17604.0;18833.0;18886.0;20711.0;21449.0;20305.0;22410.0;23819.0;26677.0;7446.0;8100.0;8123.0;8944.0;9297.0;9203.0;10086.0;10709.0;12015.0;5.2;4.3;4.3;3.0;3.7;5.3;4.1;3.4;3.4;7.2;6.0;6.2;5.6;6.0;6.2;6.4;5.9;6.3;10.5;11.1;12.8;14.5;12.7;11.6;13.5;14.4;17.3;36.0;38.0;35.0;33.9;32.2;32.0;29.8;30.7;29.4;41.3;40.5;41.7;43.1;45.4;44.9;46.1;45.6;43.7;29.1;29.0;28.3;26.5;27.2;27.2;26.7;27.1;26.2;2.5;2.4;2.2;2.1;2.2;2.2;2.4;2.1;2.1;81.97278911564626;2.0;80.13816925734024;3;74.17102966841188;1;81.05263157894737;1;0.37395;0.472689;0.0;0.0;0.07563;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.077731;0.378022;0.487912;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.134066;0.423168;0.378251;0.115839;0.047281;0.035461;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.411765;0.427015;0.12854;0.0;0.028322;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004357;0.44958;0.472689;0.0;0.023109000000000046;0.378022;0.487912;0.0;0.10988999999999999;0.458629;0.541371;0.0;0.08274200000000004;0.440087;0.555555;0.0;0.11546800000000002
02007;146.824446;39.1932018;-1.42932697;547.0;2;1250.0;7.1316985104669115;1.1421232876712328;8.513568646463682;2.252719058161956;1217;7.1049654482698426;1.1557522123893806;8.28881043419704;2.228810496639502;1170;7.065613363597717;1.1175406871609403;7.968700253090007;2.1937407662507145;1129;7.029972911706386;1.1482889733840305;7.689455201485998;2.162110244732752;9450.0;9450.0;10150.0;10850.0;12250.0;12250.0;12950.0;13650.0;14350.0;8950.0;9280.0;9469.0;10311.0;10935.0;11249.0;11854.0;12630.0;13714.0;17675.0;18191.0;18009.0;19323.0;20032.0;19990.0;20648.0;22360.0;23178.0;8110.0;8352.0;8506.0;9256.0;9712.0;10047.0;10480.0;11219.0;12081.0;3.8;3.8;3.4;3.4;3.5;5.7;4.8;3.3;3.0;4.7;4.6;5.2;5.7;5.7;5.3;5.3;5.1;4.7;11.9;11.7;12.4;14.5;14.0;13.5;14.5;15.6;15.8;33.4;33.2;33.9;32.0;29.7;29.9;29.0;28.8;28.4;46.1;46.7;45.1;44.5;47.1;45.5;46.4;47.3;48.1;30.7;31.3;30.2;28.6;29.4;30.1;28.7;28.5;29.8;2.3;2.4;2.2;2.4;2.3;2.4;2.4;2.2;2.5;78.47619047619048;7.0;80.0;4;74.4346116027532;5;81.3152400835073;0;0.496269;0.304726;0.0;0.0;0.136816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.062189;0.495086;0.31941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.185504;0.57085;0.215924;0.070175;0.024291;0.106613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012146;0.544863;0.304291;0.078023;0.0;0.063719;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009103;0.633085;0.304726;0.0;-0.328359;0.495086;0.31941;0.0;-0.175676;0.6774629999999999;0.31039;0.0;-0.3670729999999999;0.608582;0.382314;0.0;-0.22626799999999997
02008;370.3396;38.66425104;-2.49034957;953.0;2;1529.0;7.333023014386481;1.0238095238095237;4.1286430076610765;1.634841103267081;1463;7.288927694521257;1.0248962655601659;3.9504282015749865;1.5994740782079095;1351;7.20934025660291;1.0832049306625577;3.648003076095562;1.536437681359968;1304;7.173958319756794;1.0813397129186604;3.521092532367589;1.508753675337609;10850.0;10850.0;11550.0;11550.0;12250.0;12950.0;12950.0;14350.0;15750.0;9189.0;9351.0;9964.0;10660.0;11120.0;11412.0;12229.0;13726.0;14400.0;20648.0;20978.0;21132.0;22479.0;23124.0;23514.0;24758.0;27166.0;27829.0;8097.0;8320.0;8495.0;9358.0;9717.0;9963.0;10630.0;11954.0;12494.0;4.1;4.0;3.5;3.3;3.4;6.1;4.3;3.4;3.4;4.7;4.6;4.8;5.0;5.3;5.2;5.1;5.2;5.8;10.7;10.0;11.4;11.8;11.6;10.9;11.9;10.9;10.1;28.4;28.3;27.0;25.9;26.0;26.2;25.7;24.4;25.5;52.1;53.2;53.4;54.0;53.8;51.6;53.0;56.1;55.2;30.9;32.0;30.8;30.4;29.7;30.4;30.1;30.0;29.1;2.5;2.6;2.4;2.5;2.4;2.5;2.3;2.3;2.2;75.2241238793806;9.0;71.83570829840737;7;66.81776971894833;8;73.03167420814479;6;0.394007;0.380688;0.00222;0.0;0.107658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.115427;0.369048;0.409524;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.221429;0.382353;0.239496;0.2493;0.043417;0.077031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008403;0.395172;0.359593;0.184244;0.0;0.054638;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006353;0.501665;0.382908;0.0;-0.118757;0.369048;0.409524;0.0;0.04047600000000001;0.459384;0.532213;0.0;0.07282900000000003;0.44981000000000004;0.543837;0.0;0.09402699999999997
02009;532.4079;38.86968811;-1.09414681;687.0;2;24837.0;10.120130017507979;0.9903838448593637;46.65032205570203;3.8638893888539085;24800;10.118639253920785;0.9890127516240276;46.58082646782664;3.862429874791769;24419;10.103157747664696;0.9929813106994205;45.865209738623335;3.8472756035671467;24282;10.097531796025063;0.9840673257619087;45.607888237571224;3.841769802290483;12250.0;12250.0;12950.0;13650.0;14350.0;14350.0;15050.0;15750.0;17150.0;10472.0;11032.0;11412.0;11962.0;12681.0;12502.0;13203.0;14139.0;15182.0;23797.0;24855.0;25469.0;26559.0;27661.0;27375.0;28408.0;30012.0;31858.0;9029.0;9492.0;9776.0;10268.0;10794.0;10752.0;11263.0;12013.0;12842.0;3.5;2.9;2.6;2.6;2.7;7.5;5.1;2.6;2.7;3.2;3.1;3.3;3.7;3.7;3.9;4.2;4.3;4.3;10.5;11.5;10.9;11.0;11.1;9.1;9.6;10.1;10.3;21.5;20.9;20.8;20.6;20.2;21.3;21.3;21.5;21.6;61.4;61.7;62.4;62.1;62.3;58.2;59.8;61.5;61.1;31.1;30.6;29.9;29.2;28.4;28.7;28.4;27.6;27.1;2.4;2.3;2.4;2.3;2.3;2.3;2.3;2.3;2.2;75.73402417962004;148.0;72.51271617497457;127;71.18235444985895;134;73.93000156014354;149;0.281109;0.338342;0.001639;0.0;0.169581;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.209329;0.286725;0.366431;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.346844;0.383177;0.264543;0.157957;0.073694;0.108212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012418;0.424144;0.376721;0.112432;0.0;0.07618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010523;0.45069000000000004;0.339981;0.0;-0.11070900000000006;0.286725;0.366431;0.0;0.079706;0.49138899999999996;0.49619399999999997;0.0;0.004805000000000004;0.500324;0.48915299999999995;0.0;-0.011171000000000042
02010;178.3779;38.95969094;-1.23080245;852.0;2;2326.0;7.752335163302292;1.0574712643678161;13.03973193988717;2.64189130581477;2289;7.736307096548285;1.0575022461814914;12.832307141187332;2.6270069532521094;2265;7.725771441587952;1.075091575091575;12.697761325814463;2.6172324126068647;2268;7.727094484779841;1.0951061865189289;12.714579552736073;2.618459467903334;10150.0;10150.0;10850.0;11550.0;12250.0;12250.0;12950.0;14350.0;14350.0;8303.0;8471.0;8812.0;9675.0;9841.0;9922.0;10845.0;11418.0;12357.0;19254.0;19380.0;19748.0;21664.0;22103.0;22790.0;24128.0;25572.0;27312.0;7540.0;7639.0;7941.0;8673.0;8818.0;8915.0;9645.0;10181.0;10932.0;4.9;4.1;4.1;3.9;4.1;7.4;5.1;3.2;3.3;4.7;4.6;4.7;4.4;4.5;5.2;5.2;5.4;5.2;16.0;13.6;13.1;16.5;13.4;13.5;13.3;12.7;13.4;27.9;28.7;26.6;25.5;24.8;24.6;24.1;24.3;23.6;46.5;49.0;51.4;49.7;53.2;49.4;52.4;54.5;54.4;29.4;29.9;27.7;27.7;27.0;27.5;26.9;26.6;26.5;2.5;2.3;2.4;2.3;2.2;2.2;2.2;2.2;2.3;82.92547274749722;10.0;80.32420346562326;11;77.01793721973094;12;83.5990888382688;8;0.362765;0.409309;0.0;0.0;0.088296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13963;0.348227;0.444681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.207092;0.409125;0.292446;0.173523;0.053852;0.061331;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009723;0.424116;0.379071;0.147609;0.0;0.045045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004158;0.451061;0.409309;0.0;-0.04175200000000001;0.348227;0.444681;0.0;0.09645399999999998;0.470456;0.519821;0.0;0.04936499999999999;0.469161;0.52668;0.0;0.05751900000000004
