Cod_Muni;Nombre_Muni;otras prestaciones 2015;otras prestaciones 2016;otras prestaciones 2017;otras prestaciones 2018;otras prestaciones 2019;otras prestaciones 2020;otras prestaciones 2021;otras prestaciones 2022;otras prestaciones 2023;otros ingresos 2015;otros ingresos 2016;otros ingresos 2017;otros ingresos 2018;otros ingresos 2019;otros ingresos 2020;otros ingresos 2021;otros ingresos 2022;otros ingresos 2023;pensiones 2015;pensiones 2016;pensiones 2017;pensiones 2018;pensiones 2019;pensiones 2020;pensiones 2021;pensiones 2022;pensiones 2023;prestaciones por desempleo 2015;prestaciones por desempleo 2016;prestaciones por desempleo 2017;prestaciones por desempleo 2018;prestaciones por desempleo 2019;prestaciones por desempleo 2020;prestaciones por desempleo 2021;prestaciones por desempleo 2022;prestaciones por desempleo 2023;salario 2015;salario 2016;salario 2017;salario 2018;salario 2019;salario 2020;salario 2021;salario 2022;salario 2023
01001;Alegría-Dulantzi;;;;;;;;;;;;;;;7.7;8.9;7.8;9.0;;;;;;;;;;;;;;;;;;;;;;;;71.475;71.8;72.15;70.625
01002;Amurrio;;;;;;;;;;;;;;;11.61111111111111;10.822222222222223;10.122222222222222;10.877777777777778;;;;;;;;;;;;;;;;;;;;;;;;55.099999999999994;58.07777777777778;58.65555555555555;57.27777777777778
01003;Aramaio;;;;;;;;;;;;;;;10.2;11.0;12.4;20.5;;;;;;;;;;;;;;;;;;;;;;;;66.6;65.5;64.5;56.0
01004;Artziniega;;;;;;;;;;;;;;;7.599999999999999;8.7;17.2;9.9;;;;;;;;;;;;;;;;;;;;;;;;60.5;61.0;56.79999999999999;61.6
01006;Armiñón;;;;;;;;;;;;;;;9.0;15.699999999999998;7.3;8.6;;;;;;;;;;;;;;;;;;;;;;;;67.8;67.4;74.7;73.4
01008;Arratzua-Ubarrundia;;;;;;;;;;;;;;;17.3;16.7;24.3;16.0;;;;;;;;;;;;;;;;;;;;;;;;57.1;59.70000000000001;54.9;60.4
01009;Asparrena;;;;;;;;;;;;;;;10.6;8.5;7.8;8.4;;;;;;;;;;;;;;;;;;;;;;;;57.6;59.20000000000001;60.20000000000001;57.6
01010;Ayala/Aiara;;;;;;;;;;;;;;;10.4;11.275;9.575000000000001;9.95;;;;;;;;;;;;;;;;;;;;;;;;65.05;65.575;67.85;67.25
01011;Baños de Ebro/Mañueta;;;;;;;;;;;;;;;43.29999999999999;43.9;35.5;36.6;;;;;;;;;;;;;;;;;;;;;;;;32.4;33.8;38.6;39.2
01013;Barrundia;;;;;;;;;;;;;;;16.2;15.699999999999998;15.699999999999998;15.0;;;;;;;;;;;;;;;;;;;;;;;;59.4;61.20000000000001;60.79999999999999;59.5
01014;Berantevilla;;;;;;;;;;;;;;;16.9;20.4;19.7;19.0;;;;;;;;;;;;;;;;;;;;;;;;55.29999999999999;55.6;57.79999999999999;57.70000000000001
01016;Bernedo;;;;;;;;;;;;;;;15.1;15.300000000000002;13.6;15.5;;;;;;;;;;;;;;;;;;;;;;;;55.20000000000001;55.1;54.9;52.20000000000001
01017;Campezo/Kanpezu;;;;;;;;;;;;;;;11.4;12.9;13.6;12.199999999999998;;;;;;;;;;;;;;;;;;;;;;;;57.1;57.0;57.1;57.79999999999999
01018;Zigoitia;;;;;;;;;;;;;;;16.0;15.699999999999998;17.3;17.5;;;;;;;;;;;;;;;;;;;;;;;;57.6;59.20000000000001;57.9;56.20000000000001
01019;Kripan;;;;;;;;;;;;;;;26.3;26.0;22.399999999999995;21.8;;;;;;;;;;;;;;;;;;;;;;;;46.79999999999999;48.5;49.70000000000001;44.79999999999999
01020;Kuartango;;;;;;;;;;;;;;;9.3;12.9;14.199999999999998;12.199999999999998;;;;;;;;;;;;;;;;;;;;;;;;55.4;55.20000000000001;54.0;54.70000000000001
01021;Elburgo/Burgelu;;;;;;;;;;;;;;;13.1;17.0;18.5;17.0;;;;;;;;;;;;;;;;;;;;;;;;64.8;63.1;61.29999999999999;62.79999999999999
01022;Elciego;;;;;;;;;;;;;;;23.2;24.0;24.3;22.0;;;;;;;;;;;;;;;;;;;;;;;;45.20000000000001;45.29999999999999;46.20000000000001;48.70000000000001
01023;Elvillar/Bilar;;;;;;;;;;;;;;;34.4;35.1;28.399999999999995;31.100000000000005;;;;;;;;;;;;;;;;;;;;;;;;34.6;34.0;36.7;37.9
01027;Iruraiz-Gauna;;;;;;;;;;;;;;;15.9;22.100000000000005;15.9;19.2;;;;;;;;;;;;;;;;;;;;;;;;62.70000000000001;58.70000000000001;64.4;60.1
01028;Labastida/Bastida;;;;;;;;;;;;;;;15.199999999999998;17.2;14.0;14.5;;;;;;;;;;;;;;;;;;;;;;;;50.29999999999999;51.5;53.9;52.9
01030;Lagrán;;;;;;;;;;;;;;;13.4;16.8;10.5;11.0;;;;;;;;;;;;;;;;;;;;;;;;39.9;41.6;46.4;47.4
01031;Laguardia;;;;;;;;;;;;;;;19.9;20.6;19.3;19.9;;;;;;;;;;;;;;;;;;;;;;;;50.9;52.70000000000001;54.1;51.79999999999999
01032;Lanciego/Lantziego;;;;;;;;;;;;;;;22.600000000000005;25.100000000000005;20.2;19.6;;;;;;;;;;;;;;;;;;;;;;;;43.0;41.3;45.79999999999999;47.1
01033;Lapuebla de Labarca;;;;;;;;;;;;;;;19.9;19.4;14.9;15.0;;;;;;;;;;;;;;;;;;;;;;;;49.20000000000001;49.6;51.5;52.20000000000001
01034;Leza;;;;;;;;;;;;;;;41.7;38.6;22.8;24.7;;;;;;;;;;;;;;;;;;;;;;;;26.3;29.100000000000005;37.7;35.4
01036;Laudio/Llodio;;;;;;;;;;;;;;;7.8;8.766666666666667;8.126666666666667;7.72;;;;;;;;;;;;;;;;;;;;;;;;55.1;56.05333333333333;56.88;56.26
01037;Arraia-Maeztu;;;;;;;;;;;;;;;14.0;36.1;12.800000000000002;15.699999999999998;;;;;;;;;;;;;;;;;;;;;;;;57.5;45.4;60.29999999999999;57.1
01039;Moreda de Álava/Moreda Araba;;;;;;;;;;;;;;;21.899999999999995;17.9;13.199999999999998;12.0;;;;;;;;;;;;;;;;;;;;;;;;50.1;52.29999999999999;52.5;53.70000000000001
01041;Navaridas;;;;;;;;;;;;;;;41.8;39.8;32.2;28.899999999999995;;;;;;;;;;;;;;;;;;;;;;;;38.6;38.4;43.4;47.79999999999999
01042;Okondo;;;;;;;;;;;;;;;9.4;10.0;9.0;7.900000000000001;;;;;;;;;;;;;;;;;;;;;;;;65.0;66.0;67.3;67.1
01043;Oyón-Oion;;;;;;;;;;;;;;;13.125;13.425;13.475;13.075;;;;;;;;;;;;;;;;;;;;;;;;57.875;59.324999999999996;58.2;58.8
01044;Peñacerrada-Urizaharra;;;;;;;;;;;;;;;12.0;20.1;16.8;14.699999999999998;;;;;;;;;;;;;;;;;;;;;;;;60.70000000000001;54.0;55.6;58.1
01046;Erriberagoitia/Ribera Alta;;;;;;;;;;;;;;;16.2;17.0;15.9;14.4;;;;;;;;;;;;;;;;;;;;;;;;59.0;59.0;59.4;60.9
01047;Ribera Baja/Erriberabeitia;;;;;;;;;;;;;;;10.9;10.9;11.0;12.199999999999998;;;;;;;;;;;;;;;;;;;;;;;;67.2;68.6;69.0;66.3
01049;Añana;;;;;;;;;;;;;;;15.800000000000002;19.3;17.0;16.7;;;;;;;;;;;;;;;;;;;;;;;;57.5;52.79999999999999;54.9;51.1
01051;Agurain/Salvatierra;;;;;;;;;;;;;;;8.48;7.7;7.4799999999999995;6.58;;;;;;;;;;;;;;;;;;;;;;;;61.04;63.339999999999996;63.720000000000006;62.36
01052;Samaniego;;;;;;;;;;;;;;;23.899999999999995;22.5;15.1;16.5;;;;;;;;;;;;;;;;;;;;;;;;53.5;55.0;60.6;57.79999999999999
01053;San Millán/Donemiliaga;;;;;;;;;;;;;;;19.2;20.5;16.9;17.3;;;;;;;;;;;;;;;;;;;;;;;;54.5;54.4;57.20000000000001;56.9
