Cod_Muni;Nombre_Muni;Media de la renta por unidad de consumo 2015;Media de la renta por unidad de consumo 2016;Media de la renta por unidad de consumo 2017;Media de la renta por unidad de consumo 2018;Media de la renta por unidad de consumo 2019;Media de la renta por unidad de consumo 2020;Media de la renta por unidad de consumo 2021;Media de la renta por unidad de consumo 2022;Media de la renta por unidad de consumo 2023;Mediana de la renta por unidad de consumo 2015;Mediana de la renta por unidad de consumo 2016;Mediana de la renta por unidad de consumo 2017;Mediana de la renta por unidad de consumo 2018;Mediana de la renta por unidad de consumo 2019;Mediana de la renta por unidad de consumo 2020;Mediana de la renta por unidad de consumo 2021;Mediana de la renta por unidad de consumo 2022;Mediana de la renta por unidad de consumo 2023;Renta bruta media por hogar 2015;Renta bruta media por hogar 2016;Renta bruta media por hogar 2017;Renta bruta media por hogar 2018;Renta bruta media por hogar 2019;Renta bruta media por hogar 2020;Renta bruta media por hogar 2021;Renta bruta media por hogar 2022;Renta bruta media por hogar 2023;Renta bruta media por persona 2015;Renta bruta media por persona 2016;Renta bruta media por persona 2017;Renta bruta media por persona 2018;Renta bruta media por persona 2019;Renta bruta media por persona 2020;Renta bruta media por persona 2021;Renta bruta media por persona 2022;Renta bruta media por persona 2023;Renta neta media por hogar 2015;Renta neta media por hogar 2016;Renta neta media por hogar 2017;Renta neta media por hogar 2018;Renta neta media por hogar 2019;Renta neta media por hogar 2020;Renta neta media por hogar 2021;Renta neta media por hogar 2022;Renta neta media por hogar 2023;Renta neta media por persona 2015;Renta neta media por persona 2016;Renta neta media por persona 2017;Renta neta media por persona 2018;Renta neta media por persona 2019;Renta neta media por persona 2020;Renta neta media por persona 2021;Renta neta media por persona 2022;Renta neta media por persona 2023
01001;Alegría-Dulantzi;;;;;;20982.75;21797.25;22456.0;24437.75;;;;;;19775.0;20475.0;20650.0;22050.0;;;;;;43577.75;44841.75;46048.0;49939.0;;;;;;16749.5;17614.25;18099.5;19670.0;33702.0;34373.0;34618.0;34510.0;36974.0;36391.75;37333.25;38493.5;41764.75;12936.0;13086.0;13281.0;13361.0;14299.0;13987.75;14664.25;15129.0;16449.0
01002;Amurrio;;;;;;21503.11111111111;22239.777777777777;23339.555555555555;25425.444444444445;;;;;;19794.444444444445;20572.222222222223;21894.444444444445;23838.88888888889;;;;;;42456.666666666664;43923.444444444445;46245.22222222222;50415.333333333336;;;;;;17143.0;17826.777777777777;18861.0;20578.88888888889;34421.0;33936.0;34411.0;35037.0;36839.0;35899.555555555555;37082.22222222222;38840.88888888889;42360.0;13800.0;13691.0;13862.0;14103.0;14892.0;14495.666666666666;15051.0;15841.666666666666;17291.666666666668
01003;Aramaio;;;;;;27943.0;27784.0;30265.0;30276.0;;;;;;24500.0;24850.0;26950.0;26250.0;;;;;;58610.0;59912.0;62591.0;63539.0;;;;;;22224.0;22954.0;24439.0;25102.0;43199.0;46567.0;43021.0;43440.0;47455.0;48487.0;48129.0;51737.0;52084.0;15786.0;17194.0;16177.0;16478.0;18177.0;18386.0;18440.0;20201.0;20577.0
01004;Artziniega;;;;;;19911.0;20836.0;23170.0;24231.0;;;;;;18550.0;19600.0;20650.0;22750.0;;;;;;39124.0;40663.0;45737.0;47546.0;;;;;;15768.0;16606.0;18794.0;19530.0;32269.0;32680.0;31490.0;33067.0;33950.0;33088.0;34362.0;38089.0;39945.0;12722.0;13185.0;12530.0;13157.0;13622.0;13335.0;14033.0;15651.0;16408.0
01006;Armiñón;;;;;;20507.0;23594.0;22659.0;24520.0;;;;;;17150.0;19950.0;22050.0;21350.0;;;;;;39240.0;47407.0;43435.0;50259.0;;;;;;17022.0;20687.0;18783.0;20322.0;30699.0;28266.0;31165.0;34824.0;35788.0;32914.0;38792.0;36433.0;42042.0;13040.0;11330.0;13115.0;14671.0;15531.0;14278.0;16927.0;15755.0;17000.0
01008;Arratzua-Ubarrundia;;;;;;28195.0;28772.0;33263.0;33258.0;;;;;;26250.0;26950.0;27650.0;29750.0;;;;;;60533.0;61192.0;72333.0;71951.0;;;;;;23006.0;23720.0;27836.0;27877.0;46745.0;47872.0;48338.0;47119.0;50576.0;49501.0;49770.0;58424.0;58081.0;17674.0;18089.0;18302.0;17853.0;19252.0;18813.0;19293.0;22484.0;22503.0
01009;Asparrena;;;;;;20898.0;20786.0;22001.0;23846.0;;;;;;19250.0;19950.0;20650.0;22750.0;;;;;;38653.0;38590.0;40356.0;44141.0;;;;;;17507.0;17479.0;18533.0;20041.0;30412.0;31889.0;31465.0;32198.0;34228.0;32703.0;32573.0;34211.0;37481.0;13218.0;14134.0;13993.0;14463.0;15295.0;14812.0;14754.0;15711.0;17018.0
01010;Ayala/Aiara;;;;;;22518.75;23413.5;24075.0;25640.75;;;;;;20912.5;21350.0;22750.0;23450.0;;;;;;47035.75;48671.5;50386.5;54212.0;;;;;;17760.5;18528.25;19262.75;20578.0;36309.0;36970.0;37181.0;38416.0;39370.0;39371.75;40702.75;41930.25;45094.75;13317.0;13635.0;13827.0;14482.0;14854.0;14867.0;15494.75;16029.5;17116.5
01011;Baños de Ebro/Mañueta;;;;;;14410.0;16245.0;15126.0;17701.0;;;;;;12950.0;14350.0;13650.0;15750.0;;;;;;28721.0;32394.0;29110.0;34771.0;;;;;;11589.0;12914.0;11624.0;14016.0;27540.0;29932.0;28710.0;28366.0;31326.0;24642.0;27866.0;25740.0;30071.0;10690.0;11794.0;11845.0;11230.0;12140.0;9943.0;11109.0;10279.0;12122.0
01013;Barrundia;;;;;;24819.0;26411.0;27119.0;27809.0;;;;;;23450.0;24850.0;25550.0;26950.0;;;;;;50730.0;54066.0;54235.0;55897.0;;;;;;20383.0;21650.0;22361.0;23077.0;38648.0;39003.0;40188.0;39195.0;42285.0;42161.0;44789.0;45152.0;46600.0;15493.0;15419.0;16157.0;15847.0;17078.0;16940.0;17935.0;18616.0;19238.0
01014;Berantevilla;;;;;;19761.0;22067.0;24198.0;25847.0;;;;;;19250.0;21350.0;21350.0;24150.0;;;;;;39240.0;43022.0;46514.0;50480.0;;;;;;16365.0;18633.0;20278.0;21549.0;31583.0;31761.0;33384.0;32811.0;33181.0;33079.0;35623.0;38777.0;42267.0;12833.0;12836.0;13587.0;13258.0;13169.0;13795.0;15428.0;16905.0;18043.0
01016;Bernedo;;;;;;22324.0;21670.0;22796.0;25437.0;;;;;;19250.0;19950.0;21350.0;23450.0;;;;;;38256.0;37219.0;39165.0;42961.0;;;;;;19092.0;18643.0;19909.0;22012.0;26951.0;27697.0;27402.0;29665.0;30733.0;32782.0;31709.0;33505.0;36807.0;14125.0;14151.0;13997.0;15133.0;15548.0;16361.0;15883.0;17032.0;18859.0
01017;Campezo/Kanpezu;;;;;;19399.0;20269.0;21363.0;22551.0;;;;;;17850.0;19250.0;19950.0;20650.0;;;;;;34808.0;36059.0;37129.0;40369.0;;;;;;16663.0;17384.0;18341.0;19478.0;26377.0;27313.0;27374.0;27625.0;29244.0;29717.0;30570.0;31541.0;34127.0;12392.0;12850.0;12907.0;13055.0;14141.0;14226.0;14737.0;15581.0;16466.0
01018;Zigoitia;;;;;;27801.0;28617.0;30405.0;32304.0;;;;;;24850.0;25550.0;26950.0;29050.0;;;;;;58189.0;59606.0;62591.0;67597.0;;;;;;23321.0;24170.0;25635.0;27508.0;45710.0;44527.0;46232.0;45709.0;46733.0;47234.0;48511.0;50869.0;54936.0;17744.0;17260.0;17970.0;18173.0;18779.0;18930.0;19671.0;20834.0;22355.0
01019;Kripan;;;;;;17684.0;18278.0;18672.0;19839.0;;;;;;17150.0;19250.0;17850.0;17850.0;;;;;;35082.0;36606.0;37723.0;39934.0;;;;;;14033.0;14559.0;15003.0;15697.0;27303.0;29233.0;29681.0;31403.0;32955.0;29932.0;30945.0;32410.0;34771.0;10422.0;11121.0;11479.0;12387.0;13145.0;11973.0;12308.0;12890.0;13667.0
