Código;Distribución de la renta P80/P20;Índice de Gini;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por hogar;Renta bruta media por persona;Renta neta media por hogar;Renta neta media por persona
01001;2.3;27.4;24419.0;22050.0;49931.0;19643.0;41762.0;16429.0
01002;2.3;26.6;25708.0;24150.0;51041.0;20844.0;42818.0;17486.0
01003;1.9;22.2;30276.0;26250.0;63539.0;25102.0;52084.0;20577.0
01004;2.6;28.3;24231.0;22750.0;47546.0;19530.0;39945.0;16408.0
01006;2.1;27.0;24520.0;21350.0;50259.0;20322.0;42042.0;17000.0
01008;2.2;26.3;33258.0;29750.0;71951.0;27877.0;58081.0;22503.0
01009;2.4;26.1;23846.0;22750.0;44141.0;20041.0;37481.0;17018.0
01010;2.3;25.7;25702.0;23450.0;54362.0;20622.0;45243.0;17163.0
01011;3.3;34.1;17701.0;15750.0;34771.0;14016.0;30071.0;12122.0
01013;2.3;26.2;27809.0;26950.0;55897.0;23077.0;46600.0;19238.0
01014;2.2;26.5;25847.0;24150.0;50480.0;21549.0;42267.0;18043.0
01016;2.3;27.0;25437.0;23450.0;42961.0;22012.0;36807.0;18859.0
01017;2.6;27.7;22551.0;20650.0;40369.0;19478.0;34127.0;16466.0
01018;2.3;26.7;32304.0;29050.0;67597.0;27508.0;54936.0;22355.0
01019;2.1;23.9;19839.0;17850.0;39934.0;15697.0;34771.0;13667.0
01020;2.2;26.6;24587.0;22750.0;41106.0;21318.0;34872.0;18085.0
01021;2.2;25.7;31006.0;29050.0;69966.0;24869.0;57524.0;20447.0
01022;2.7;31.3;23836.0;19950.0;48073.0;20391.0;40225.0;17062.0
01023;2.2;27.9;19830.0;17850.0;37030.0;15974.0;32118.0;13855.0
01027;2.1;23.6;30301.0;27650.0;61179.0;24925.0;50666.0;20642.0
01028;2.8;31.1;20917.0;18550.0;40762.0;17175.0;34746.0;14640.0
01030;2.4;25.9;25288.0;22050.0;41510.0;22920.0;35113.0;19388.0
01031;2.5;30.2;22797.0;20650.0;44004.0;19097.0;37085.0;16094.0
01032;2.6;30.6;17563.0;15750.0;33275.0;13729.0;29263.0;12073.0
01033;2.8;29.4;18474.0;17150.0;34433.0;14565.0;30085.0;12725.0
01034;2.7;30.3;21231.0;19250.0;39424.0;17586.0;34131.0;15225.0
01036;2.3;26.7;24717.0;23450.0;46790.0;20407.0;39586.0;17265.0
01037;2.2;26.8;26293.0;22050.0;50100.0;22287.0;41965.0;18668.0
01039;2.4;28.0;22010.0;21350.0;38253.0;18535.0;32628.0;15809.0
