ID_MUNICIPIO;FECHA_ELECCION;V_ALCD_2016;V_C's_2016;V_CCD_2016;V_CCD-CI_2016;V_CCa-PNC_2016;V_CCa-PNC-NC_2016;V_CILUS_2016;V_CUP_2016;V_EAJ-PNV_2016;V_EB_2016;V_ECP_2016;V_ENTABAN_2016;V_ERC-CATSÍ_2016;V_FE_2016;V_FE_de_las_J_2016;V_FME_2016;V_IMC_2016;V_INDEPENDIEN_2016;V_IZAR_2016;V_JXC_2016;V_Ln_2016;V_MAS_2016;V_PACMA_2016;V_PCOE_2016;V_PCPE_2016;V_PFyV_2016;V_PH_2016;V_PODEMOS-COM_2016;V_PODEMOS-EN_MAREA-ANOVA-EU_2016;V_PODEMOS-IU-EQUO_2016;V_PP_2016;V_PREPAL_2016;V_PSOE_2016;V_PUEDE_2016;V_PxC_2016;V_RECORTES_CERO-GRUPO_VERDE_2016;V_REPO_2016;V_SAIn_2016;V_SI_2016;V_SOMVAL_2016;V_SUMAR_2016;V_Teruel_Existe_2016;V_UDT_2016;V_UNIDAD_DEL_PUEBLO_2016;V_UPL_2016;V_UPyD_2016;V_VOX_2016
01001;2016-06;0;62;0;0;0;0;0;0;244;0;0;0;0;0;0;0;0;0;0;0;1;0;17;0;3;0;0;0;0;466;160;0;205;0;0;5;0;0;0;0;0;145;0;0;0;1;2
01002;2016-06;0;134;0;0;0;0;0;0;1632;0;0;0;0;0;0;0;0;0;0;0;1;0;31;0;4;0;0;0;0;1913;496;0;592;0;0;17;0;0;0;0;0;775;0;0;0;4;24
01003;2016-06;0;1;0;0;0;0;0;0;222;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;197;13;0;12;0;0;0;0;0;0;0;0;317;0;0;0;1;5
01004;2016-06;0;25;0;0;0;0;0;0;301;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;296;130;0;71;0;0;1;0;0;0;0;0;153;0;0;0;0;0
01006;2016-06;0;18;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;48;36;0;18;0;0;1;0;0;0;0;0;7;0;0;0;0;0
01008;2016-06;0;25;0;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;120;109;0;37;0;0;0;0;0;0;0;0;79;0;0;0;0;2
01009;2016-06;0;11;0;0;0;0;0;0;210;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;298;62;0;76;0;0;0;0;0;0;0;0;178;0;0;0;0;0
01010;2016-06;0;26;0;0;0;0;0;0;518;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;0;0;0;537;153;0;102;0;0;6;0;0;0;0;0;234;0;0;0;0;2
01011;2016-06;0;11;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;70;0;16;0;0;0;0;0;0;0;0;4;0;0;0;0;0
01013;2016-06;0;14;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;149;47;0;23;0;0;0;0;0;0;0;0;104;0;0;0;0;0
