ID_MUNICIPIO;FECHA_ELECCION;V_+RDS+_2023;V_3e_2023;V_ADELANTE_ANDALUCï¿½A_2023;V_AHORA_CANARIAS-PCPC_2023;V_ALM_2023;V_ASTURIAS_EXISTE_EV_2023;V_BNG_2023;V_BQEX_2023;V_CCD_2023;V_CCa_2023;V_CJ_2023;V_CUP-PR_2023;V_CpM_2023;V_EAJ-PNV_2023;V_EH_Bildu_2023;V_ERC_2023;V_ESCAï¿½OS_EN_BLANCO_2023;V_ESCONS_EN_BLANC_2023;V_ESPAï¿½A_VACIADA_2023;V_EV-PCAS-TC_2023;V_EVB_2023;V_EVC_2023;V_EXISTE_2023;V_FE_de_las_JONS_2023;V_FIA_2023;V_FO_2023;V_FUERZA_Cï¿½VICA_2023;V_GBAI_2023;V_GITV_2023;V_JM+_2023;V_JxCAT_-_JUNTS_2023;V_JxG_2023;V_LB_2023;V_Mï¿½S_PER_MALLORCA-Mï¿½S_PER_MENORCA-SUMAR_2023;V_NC-bc_2023;V_PACMA_2023;V_PAR_2023;V_PARTIDO_AUTï¿½NOMOS_2023;V_PCTC_2023;V_PCTE_2023;V_PCTE/ELAK_2023;V_PCTG_2023;V_PDeCAT-E-CiU_2023;V_PH_2023;V_POR_MI_REGIï¿½N_2023;V_PP_2023;V_PREPAL_2023;V_PSC_2023;V_PSE-EE_(PSOE)_2023;V_PSIB-PSOE_2023;V_PSN-PSOE_2023;V_PSOE_2023;V_PSdeG-PSOE_2023;V_PUEDE_2023;V_PUM+J_2023;V_RECORTES_CERO_2023;V_SUMAR_2023;V_SUMAR_-_COMPROMï¿½S_2023;V_SUMAR_-_ECP_2023;V_SUMAR_ARAGï¿½N_2023;V_SY_2023;V_Somos_Cc_2023;V_UNIDOS_SI_2023;V_UPL_2023;V_UPN_2023;V_UdCa_2023;V_VB_2023;V_VOX_2023;V_VP_2023;V_XAV_2023;V_XH_2023;V_Zsi_2023
01001;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;276;298;0;9;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;141;0;0;368;0;0;0;0;0;2;0;168;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0
01002;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;1498;1656;0;10;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;16;0;0;0;7;0;0;0;0;0;386;0;0;1290;0;0;0;0;0;1;9;573;0;0;0;0;0;0;0;0;0;0;132;0;0;0;0
01003;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;181;406;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;2;0;0;55;0;0;0;0;0;0;1;68;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
01004;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;257;275;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;103;0;0;196;0;0;0;0;0;0;1;110;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0
01006;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;20;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;28;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0
01008;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;134;151;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;99;0;0;113;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0
01009;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;177;391;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;36;0;0;155;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0
01010;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;537;483;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;116;0;0;264;0;0;0;0;0;5;0;169;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0
01011;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;54;9;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;63;0;0;27;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0
01013;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;108;215;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;45;0;0;68;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0
01014;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;73;41;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;51;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0
01016;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;65;75;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;51;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0
01017;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;146;196;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;60;0;0;98;0;0;0;0;0;0;1;70;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0
01018;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;194;346;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;134;0;0;151;0;0;0;0;0;0;0;125;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0
01019;2023-07;0;0;0;0;0;0;0;0;0;0;0;0;0;59;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;11;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
